City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wiltz,LU,2021-04-05 19:32:29,49.9689,5.9319,30.0,91,20,15.99
68,Boa Esperanca,BR,2021-04-05 19:32:29,-21.09,-45.5658,74.79,69,48,3.94
69,Upernavik,GL,2021-04-05 19:32:29,72.7868,-56.1549,4.1,77,100,3.87
70,Sola,VU,2021-04-05 19:32:30,-13.8833,167.55,77.0,100,90,13.89
71,Kahului,US,2021-04-05 19:32:30,20.8947,-156.47,75.2,78,40,17.27
72,North Platte,US,2021-04-05 19:32:30,41.1239,-100.7654,87.01,17,1,9.22
73,Rantepao,ID,2021-04-05 19:32:31,-2.9701,119.8978,65.66,89,89,3.74
74,Pacific Grove,US,2021-04-05 19:32:31,36.6177,-121.9166,57.99,58,40,4.61
75,Beloha,MG,2021-04-05 19:32:31,-25.1667,45.05,68.56,84,0,4.9
76,Okotoks,CA,2021-04-05 19:32:32,50.7289,-113.9828,48.99,36,2,5.01
77,Gradinari,RO,2021-04-05 19:32:32,44.3922,25.8156,45.0,73,66,4.21
78,Nur,PL,2021-04-05 19:32:33,52.6683,22.3221,36.61,90,100,15.68
79,Sioux Lookout,CA,2021-04-05 19:32:33,50.1001,-91.917,59.0,36,75,10.36
80,Bambous Virieux,MU,2021-04-05 19:32:33,-20.3428,57.7575,80.01,83,40,9.22
81,Srandakan,ID,2021-04-05 19:32:33,-7.9386,110.2506,77.11,87,100,4.45
82,Chapais,CA,2021-04-05 19:32:34,49.7834,-74.8492,41.0,30,1,12.66
83,Lavrentiya,RU,2021-04-05 19:32:34,65.5833,-171.0,-3.41,94,100,3.47
84,Port Hedland,AU,2021-04-05 19:32:34,-20.3167,118.5667,71.6,68,3,8.05
85,Mnogovershinnyy,RU,2021-04-05 19:32:35,53.9353,139.9242,16.66,75,98,3.76
86,Canoa,DO,2021-04-05 19:32:35,18.355,-71.1585,89.6,55,40,16.11
87,Leningradskiy,RU,2021-04-05 19:32:35,69.3833,178.4167,-2.83,93,99,2.37
88,Roebourne,AU,2021-04-05 19:32:36,-20.7833,117.1333,81.12,45,1,5.5
89,Kontagora,NG,2021-04-05 19:32:36,10.3999,5.4695,89.04,14,18,2.13
90,Brae,GB,2021-04-05 19:32:37,60.3964,-1.353,32.0,80,75,31.07
91,Atuona,PF,2021-04-05 19:32:37,-9.8,-139.0333,80.35,79,14,8.66
92,Lorengau,PG,2021-04-05 19:32:38,-2.0226,147.2712,79.57,81,99,2.84
93,Ankang,CN,2021-04-05 19:32:38,32.68,109.0172,50.59,76,100,2.71
94,Akyab,MM,2021-04-05 19:32:38,20.15,92.9,78.91,71,0,1.97
95,Katherine,AU,2021-04-05 19:32:39,-14.4667,132.2667,69.8,73,6,1.07
96,Khandyga,RU,2021-04-05 19:32:39,62.6667,135.6,-30.48,100,85,2.13
97,Premia De Mar,ES,2021-04-05 19:32:39,41.4921,2.3652,63.0,71,100,4.0
98,Merauke,ID,2021-04-05 19:32:40,-8.4667,140.3333,77.65,86,94,4.61
