City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Gbarnga,LR,6.9956,-9.4722,93.0,44,97,4.36,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,73.0,70,100,5.01,overcast clouds
82,Ariquemes,BR,-9.9133,-63.0408,79.21,86,99,3.27,overcast clouds
83,Chuy,UY,-33.6971,-53.4616,73.83,72,100,4.09,overcast clouds
84,Husavik,IS,66.0449,-17.3389,28.4,69,75,10.36,light rain
85,Bitung,ID,1.4451,125.1824,75.2,94,40,2.3,scattered clouds
86,Mikkeli,FI,61.6886,27.2723,35.6,93,90,13.8,light rain
87,Matias Romero,MX,16.8833,-95.0333,83.08,59,61,14.94,broken clouds
88,Bila Tserkva,UA,49.8094,30.1121,48.07,37,94,3.65,overcast clouds
89,Jibuti,DJ,11.5,42.5,84.2,58,1,6.91,clear sky
90,Atuona,PF,-9.8,-139.0333,80.53,77,15,17.94,few clouds
91,Vallenar,CL,-28.5708,-70.7581,76.68,34,0,5.3,clear sky
92,Avarua,CK,-21.2078,-159.775,75.2,100,75,2.3,broken clouds
93,Vaini,TO,-21.2,-175.2,73.4,88,75,3.44,broken clouds
94,Srednekolymsk,RU,67.45,153.6833,-7.56,100,95,6.44,overcast clouds
95,Nanortalik,GL,60.1432,-45.2371,37.44,88,100,11.27,light rain
96,Saldanha,ZA,-33.0117,17.9442,77.0,53,94,17.27,overcast clouds
97,Feijo,BR,-8.1642,-70.3536,79.88,77,100,1.21,overcast clouds
98,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,75,2.3,light rain
99,Geraldton,AU,-28.7667,114.6,82.4,36,95,10.36,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,83.39,66,6,11.59,clear sky
101,Faanui,PF,-16.4833,-151.75,81.34,70,91,7.83,overcast clouds
102,Yabelo,ET,4.8833,38.0833,77.41,28,82,2.21,broken clouds
103,Ganganagar,IN,29.9167,73.8833,81.34,12,8,2.51,clear sky
104,Kaabong,UG,3.4836,34.1492,77.94,45,80,10.33,broken clouds
105,Yellowknife,CA,62.456,-114.3525,3.99,78,90,9.22,overcast clouds
106,Okha,RU,53.5739,142.9478,14.27,95,17,7.2,few clouds
107,Taywarah,AF,33.35,64.4167,52.02,16,2,5.97,clear sky
108,Ishigaki,JP,24.3448,124.1572,72.18,73,100,17.22,overcast clouds
109,Luanda,AO,-8.8368,13.2343,84.2,79,20,10.36,few clouds
110,Kayerkan,RU,69.3497,87.7602,14.83,93,100,7.99,overcast clouds
111,Eregli,TR,37.5133,34.0467,39.06,77,99,1.5,overcast clouds
112,Luderitz,NA,-26.6481,15.1594,77.36,53,1,13.58,clear sky
113,Hilo,US,19.7297,-155.09,66.2,72,90,7.99,light rain
114,Ponta Do Sol,PT,32.6667,-17.1,69.01,60,50,3.0,scattered clouds
115,Te Anau,NZ,-45.4167,167.7167,47.16,91,100,1.54,overcast clouds
116,Klaksvik,FO,62.2266,-6.589,33.8,64,75,25.32,light snow
117,Labrea,BR,-7.2586,-64.7981,85.84,68,100,1.52,overcast clouds
118,Shelabolikha,RU,53.4131,82.6167,35.6,60,0,6.71,clear sky
119,Mount Gambier,AU,-37.8333,140.7667,51.8,93,90,8.05,overcast clouds
120,Yakeshi,CN,49.2833,120.7333,43.18,43,1,6.8,clear sky
121,Coihaique,CL,-45.5752,-72.0662,48.2,81,20,4.61,few clouds
122,Portales,US,34.1862,-103.3344,69.01,21,1,12.66,clear sky
123,Katsuura,JP,35.1333,140.3,48.99,52,100,10.0,overcast clouds
124,Yerbogachen,RU,61.2767,108.0108,4.21,97,97,4.25,overcast clouds
125,Prince Albert,CA,53.2001,-105.7677,28.4,74,1,10.36,clear sky
126,Liverpool,GB,53.4106,-2.9779,51.8,40,51,11.5,broken clouds
127,Severo-Kurilsk,RU,50.6789,156.125,30.47,88,96,6.71,overcast clouds
128,Thoen,TH,17.6129,99.2161,84.99,66,93,1.01,light rain
129,Durango,MX,24.8333,-104.8333,66.99,29,0,4.45,clear sky
130,Maniitsoq,GL,65.4167,-52.9,32.05,98,100,23.47,snow
131,Dikson,RU,73.5069,80.5464,15.22,57,100,22.97,overcast clouds
132,Makubetsu,JP,45.3714,141.8211,32.63,75,73,11.63,broken clouds
133,Nikolskoye,RU,59.7035,30.7861,42.8,65,40,24.61,light rain
134,Chokurdakh,RU,70.6333,147.9167,-1.71,95,100,12.1,overcast clouds
135,Bulgan,MN,48.8125,103.5347,36.59,64,100,8.86,overcast clouds
136,Cabedelo,BR,-6.9811,-34.8339,86.0,70,75,17.27,broken clouds
137,Jiaohe,CN,43.7286,127.3447,38.05,35,4,1.41,clear sky
138,Mehamn,NO,71.0357,27.8492,32.0,74,40,17.27,snow
139,Laguna,US,38.421,-121.4238,53.01,81,1,6.91,clear sky
140,Qobustan,AZ,40.0824,49.412,55.4,76,0,18.41,clear sky
141,Clyde River,CA,70.4692,-68.5914,12.2,73,40,12.66,scattered clouds
142,Sinnamary,GF,5.3833,-52.95,74.41,96,100,11.25,light rain
143,Pogranichnyy,RU,44.4064,131.3769,36.41,51,0,2.98,clear sky
144,Alice Springs,AU,-23.7,133.8833,62.6,59,18,4.61,few clouds
145,Grand-Santi,GF,4.25,-54.3833,77.63,88,98,5.19,overcast clouds
